Complexity,Loss,Equation
1,5.2217907e-5,"2.317508"
5,1.5876956e-6,"(x0 ^ -0.007439352) + 1.3388813"
6,1.5802148e-6,"sqrt(x0 ^ -0.014903174) + 1.3390101"
8,1.4614538e-6,"3.3416038 - (log(x1 / 5.4450784) ^ 0.021602694)"
9,9.897777e-7,"abs(-1.3339676 - (log(x1 / 7.9812603) ^ -0.017573379))"
11,9.223367e-7,"abs((log(x0 + (x1 / 5.8992753)) ^ -0.023796123) - -1.3471556)"
12,9.223365e-7,"abs(abs((log(x0 + (x1 / 5.8992753)) ^ -0.023796158) - -1.3471556))"
13,9.214772e-7,"abs(-1.3471258 - (log(x0 + ((x1 + -0.19109862) / 5.8992753)) ^ -0.023776364))"
15,9.108531e-7,"((log(((x0 / 0.32162228) + x0) + log(x1)) ^ -0.030655904) - -0.3125037) + 1.048768"
16,8.8070726e-7,"abs((log((x1 + (x1 - abs(x0 - 8.247058))) / 6.575701) ^ -0.024788124) - -1.3476475)"
18,6.746597e-7,"abs((log(((x1 + x1) - abs(6.1710525 - (x0 ^ 1.3252938))) / 6.5757103) ^ -0.02765593) - -1.3500056)"
20,6.6437576e-7,"abs((log(((x1 + (x1 + -0.53014046)) - abs(6.1710525 - (x0 ^ 1.3252938))) / 6.5757103) ^ -0.02765593) - -1.3500056)"
23,5.782336e-7,"abs(abs((log((((x1 + x1) - -0.096043706) - abs((x0 + x0) - (8.435767 - x0))) / 6.575704) ^ -0.026374672) - -1.3485371))"
25,5.6125185e-7,"abs(abs((log(((x1 + x1) + (0.9615659 - abs(((8.247058 - (x0 + x0)) - x0) + 0.8029936))) / 6.5757055) ^ -0.02674539) - -1.3488717))"
28,5.2229717e-7,"abs(-1.3488717 - (log((((x1 + (x1 - 0.8029936)) + -0.1952361) - abs((8.247058 - (x0 + (0.36270598 / x0))) - (x0 + x0))) / 6.5757055) ^ -0.02674539))"
29,5.0083e-7,"abs(-1.3488717 - (log(((x1 + ((x1 - 0.8029936) + -0.7598863)) - abs((8.247058 - (x0 + (0.36270598 / x0))) - (x0 + abs(x0)))) / 6.5757055) ^ -0.02674539))"
30,4.927243e-7,"abs(abs(-1.3486845 - (log(((x1 + (x1 - 0.8029938)) + (-0.7598865 - abs((8.24706 - (x0 + (0.3627042 / x0))) - (x0 + abs(x0))))) / 6.575704) ^ -0.0266131)))"
