Complexity,Loss,Equation
1,509.83572,"117.294914"
3,138.54112,"v_b + 52.190575"
4,89.46647,"sqrt(v_b) * 14.757418"
5,24.090593,"(-2628.9917 / v_b) + 165.26578"
7,13.704364,"v_b * ((v_b * -0.017861333) + 3.1273797)"
9,12.671787,"(r * ((r * -0.32167247) + 10.068897)) + 58.505077"
10,10.84268,"((39.786564 - (r * 0.6683392)) * sqrt(v_b)) - 135.81384"
12,10.664687,"(((r * -0.72921556) - -45.701767) * sqrt(v_b + 6.955225)) - 194.27531"
14,7.4097147,"(sqrt(v_b) * 82.131226) + (((r * -17.79794) - 347.04593) - (-5.548854 / r))"
15,6.6894565,"((sqrt(v_b + -8.426763) * 68.38215) + (sqrt(g_bar) - 148.90259)) - (v_b * 3.944875)"
17,6.6889014,"(((sqrt(v_b + -8.570929) * 68.02177) + (sqrt(g_bar) - 148.97408)) - (v_b * 3.92726)) + 2.2805336"
18,6.6666994,"((sqrt(g_bar) - 148.52792) + (sqrt(v_b + -9.104391) * 70.77071)) - ((sqrt(r) + v_b) * 3.97857)"
19,6.6298146,"((sqrt(v_b + -8.161446) * 67.87031) + (sqrt(g_bar) - 148.97789)) - ((v_b * 3.9033558) + (0.74660885 / r))"
