Complexity,Loss,Equation
1,44.091457,"109.21747"
3,12.025496,"r + 98.70246"
5,12.025495,"(r + -0.00016730218) + 98.70246"
6,11.755401,"log(r) + (r + 96.628)"
7,5.2311087,"(-743.52325 / v_b) + 122.78502"
9,5.084369,"(-975.9055 / (v_b + 6.450952)) + 124.84746"
10,4.070814,"(-218.96793 / (r + log(g_bar))) + 124.537285"
11,2.6898496,"((r + -50.262104) * (v_b + 55.4339)) * -0.023504246"
12,2.689551,"((r + -36.590523) * (v_b / -42.635777)) + 72.80022"
15,2.3412044,"(v_b + (log(g_bar) + 45.8984)) * ((r + -48.822884) / -39.75296)"
16,2.2562685,"(v_b + (sqrt(sqrt(g_bar)) + 47.781303)) * ((r + -49.019226) / -40.102608)"
18,2.142661,"(((r + -36.124184) * v_b) / -37.452602) + ((1.9097279 / r) + 68.11522)"
20,2.1364894,"(1.9097279 / (0.06640808 + r)) + (68.11522 + ((r + -36.124184) * (v_b / -37.452602)))"
