Complexity,Loss,Equation
1,14.3406105,"110.3452"
3,12.596045,"r + 99.8307"
4,6.5260887,"sqrt(v_b) + 102.42905"
6,4.493692,"(v_b * 0.12960888) + 101.90727"
7,2.2062552,"(-415.5215 / v_b) + 117.92739"
9,2.1752448,"(-511.0459 / (v_b + 4.807991)) + 118.789276"
10,2.0756092,"(-549.001 / (v_b + log(g_bar))) + 119.1791"
11,1.3002526,"(r * ((r * -0.055787444) + 1.6975659)) + 100.66139"
12,1.0403157,"(r * (-0.9267206 + (781.0104 / g_bar))) + 101.86703"
14,0.70961905,"(((1041.2991 / g_bar) + -1.4361674) * (r + -1.9666529)) + 102.959206"
15,0.30466723,"(-97.81252 / sqrt(exp(r) + 91.58841)) + 113.185295"
18,0.3022966,"((-156.48123 / sqrt(exp(r) + 104.610245)) + 172.0408) * 0.6581447"
20,0.30208007,"(((-156.48123 / sqrt(104.610245 + exp(r))) + 172.0408) * 0.6581447) + -0.035485033"
