Complexity,Loss,Equation
1,441.3705,"82.77813"
3,132.42982,"v_b + 27.217957"
6,107.85522,"(r + v_b) * 1.3514957"
7,94.449936,"(r + v_b) / 0.7080199"
8,64.794334,"((r + v_b) * 1.3514957) + r"
9,21.391903,"((r + (r + v_b)) + r) + 20.487362"
16,6.338181,"v_b + ((log(g_bar * 0.45173842) * r) + 13.175568)"
18,1.9116584,"(log((185.92825 ^ r) * g_bar) + v_b) + 8.159981"
19,1.2921215,"(v_b + (log(g_bar * 2.4835718) * (r + 2.7579584))) * 0.8578155"
20,1.1580508,"log((g_bar ^ r) + (g_bar * 10.54881)) + (v_b + 9.917098)"
