Complexity,Loss,Equation
1,1389.1915,"v_b"
3,748.5685,"v_b + r"
5,593.23334,"r + (v_b + r)"
6,585.37933,"(r * 1.8200852) + v_b"
8,225.21735,"(r + (v_b * 0.7895107)) + 36.057964"
10,101.60588,"(((v_b + 36.61225) * 0.7725624) + r) + r"
11,100.969154,"((v_b + 37.231174) * 0.7736843) + (r * 1.9331967)"
13,97.00051,"((r * 1.8943206) + 25.883945) + (v_b ^ 0.9565313)"
15,93.78487,"sqrt(r) + (r + (((r + 35.734436) + v_b) * 0.77382296))"
16,58.982086,"r + ((v_b + 34.87858) + (v_b / ((r + 8.596886) * -0.31908554)))"
20,52.008514,"(v_b + ((r + ((v_b / (r + 10.603142)) / -0.348169)) * 1.2475864)) + 32.354214"
