Complexity,Loss,Equation
1,1441.2747,"v_b"
3,841.10834,"r + v_b"
5,719.70764,"(r + r) + v_b"
6,687.1548,"(v_b + 55.180553) * 0.77826875"
8,248.6049,"((v_b * 0.75611854) + r) + 35.91386"
10,98.754295,"r + ((r + 28.876116) + (v_b * 0.73400724))"
14,98.70191,"(r + (r * 1.019073)) + ((v_b / 1.3632581) + 28.747234)"
16,98.7019,"(((r + (r * 0.019124184)) + (v_b / 1.3632514)) + 28.74711) + r"
17,82.057396,"((r + r) + ((v_b / 1.379727) + (-4.0126724 / r))) + 31.91952"
20,81.22911,"((-4.2669106 / r) + (((r * 1.6468735) + (r + v_b)) / 1.3776065)) + 32.667027"
